"Bedworth","Miners Welfare Park",52.476054,-1.47027
"Beehive juniors","King George V Playing Fields",51.788927,-0.189677
"Beeston","Weirfields Recreation Ground",52.913592,-1.201737
"Belfast Victoria juniors","Victoria Park, Belfast",54.609998,-5.870456
"Belfast Victoria","Victoria Park, Belfast",54.608785,-5.881573
"Belfast YMCA juniors","Belfast YMCA juniors",54.565868,-5.935997
"Belton House","Belton House",52.942743,-0.620021
"Belvoir Castle","Belvoir Castle",52.894882,-0.786835
"Ben’s Yard, Ely","Ben’s Yard, Ely",52.375707,0.291723
"Berkeley Green","Berkeley Green",51.690962,-2.497513
"Berry Hill juniors","Berry Hill juniors",53.128883,-1.174603
"Bestwood Village","Bestwood Country Park",53.022132,-1.171188
"Bethlem Royal Hospital","Bethlem Royal Hospital",51.385332,-0.029969
"Betteshanger juniors","Betteshanger Country Park",51.236001,1.371111
"Bevendean Down","Bevendean Down",50.844709,-0.107027
"Beverley Westwood","Beverley Westwood",53.840255,-0.440675
"Bexley","Danson Park, Bexley",51.455132,0.113254
"Bicester","Langford Village",51.891101,-1.146866
"Bideford","Victoria Park",51.024075,-4.204316
"Billericay","Lake Meadows Park",51.632966,0.417446
"Billingham juniors","John Whitehead Park",54.610247,-1.289735
"Birchall Playing Fields","Birchall Playing Fields",53.093328,-2.024607
"Birchwood Leisure Centre juniors","Birchwood Leisure Centre juniors",51.774268,-0.220709
"Birkenhead","Birkenhead Park",53.394807,-3.051658
"Black Park","Black Park Country Park, Slough",51.540329,-0.5476
"Black Rocks","Black Rocks",53.098298,-1.56564
"Blackhill","Blackhill and Consett Heritage Park",54.858315,-1.842366
"Blackpool","Stanley Park",53.811727,-3.023114
"Blaise Castle","Blaise Castle Estate",51.505672,-2.632932
"Blandford","Jubilee Way",50.863122,-2.16627
"Blickling juniors","Blickling Estate",52.810825,1.22367
"Blickling","Blickling Park",52.813653,1.221671
"Bloxwich juniors","King George V Memorial Playing Fields",52.625246,-2.006525
"Blyth Links","Blyth Links",55.106922,-1.499456
"Bodington juniors","Bodington Cycle Circuit and Playing Fiel",53.841537,-1.590275
"Bodmin juniors","Hillside Park",50.474313,-4.73101
"Bognor Regis juniors","Arena Sports Centre",50.792765,-0.693819
"Bognor Regis","Hotham Park",50.786913,-0.668305
"Bolberry Down","Bolberry Down",50.23197,-3.842329
"Bolton","Leverhulme Park, Bolton",53.574715,-2.395615
"Boston Road Rec juniors","Boston Road Recreation Ground",52.997065,-0.40055
"Boston","Witham Way Country Park",52.990156,-0.038556
"Boultham Park juniors","Boultham Park juniors",53.208395,-0.559223
"Bournemouth","Kings Park Athletic Stadium",50.73362,-1.832732
"Bower Park","Bower Park",54.761523,-3.331244
"Bowling Park juniors","Bowling Park juniors",53.779024,-1.740528
"Bowling Park","Bowling Park",53.778303,-1.739889
"Bracknell juniors","Great Hollands Recreation Ground",51.389493,-0.778067
"Bracknell","Great Hollands Recreation Ground",51.390248,-0.776844
"Bramhall Park","Bramhall Park, near Stockport",53.374268,-2.160702
"Bramley juniors","Bramley Park",53.81364,-1.634046
"Bramley","Bramley Park",53.813432,-1.633461
"Bramshall Road","Bramshall Road Park",52.895262,-1.871048
"Brandon Country Park","Brandon Country Park",52.436339,0.625877
"Braunstone","Braunstone, Leicester",52.626129,-1.178681
"Brayton Academy juniors","Brayton Academy",53.774828,-1.084158
"Breckland Leisure Centre juniors","Breckland Leisure Centre Leisure",52.421826,0.747829
"Brentwood","Weald Country Park",51.622582,0.266879
"Bressay","Bressay",60.158081,-1.119683
"Bretton Park juniors","Bretton Park",52.594039,-0.281301
"Brickfields Park","Brickfields Park",51.377397,-2.385904
"Bridgend juniors","Newbridge Fields",51.502567,-3.585036
"Brierley Forest","Brierley Forest",53.131155,-1.295214
"Brighton & Hove","Hove Park, Brighton",50.84214,-0.172498
"Brixworth Country","Brixworth Country Park",52.318576,-0.895675
"Broadmeadow juniors","Lakeland Forum",54.344072,-7.643103
"Broadwater","Broadwater Park",51.197911,-0.598312
"Brockenhurst","Brockenhurst College",50.808103,-1.642492
"Brockhole on Windermere juniors","Brockhole on Windermere juniors",54.399595,-2.941735
"Brockwell juniors","Brockwell Park",51.452603,-0.106505
"Brockwell","Brockwell Park, Herne Hill",51.452538,-0.105464
"Bromley juniors","Norman Park",51.389329,0.026049
"Bromley","Norman Park, Bromley",51.386539,0.022874
"Bromsgrove juniors","Sanders Park",52.334159,-2.072308
"Brooklands","Brooklands Community Park",51.346969,-0.471408
"Brueton","Brueton Park, Solihull",52.406754,-1.764593
"Brumby Wood Rec Ground juniors","Brumby Wood Rec Ground",53.581186,-0.664778
"Brundall","Countryside Park",52.624133,1.417369
"Brunswick Park","Brunswick Park",52.556155,-2.009344
"Bryn Bach juniors","Bryn Bach country park",51.783571,-3.267184
"Bryn Bach","Parc Bryn Bach, Tredegar",51.781621,-3.269548
"Brynaman","Brynamman Rugby Club",51.808402,-3.869719
"Buckingham juniors","Bourton Park",51.997232,-0.975386
"Buckingham","Bridge Street Skate Park",51.998987,-0.984462
"Bude Marshes juniors","Bude Marshes",50.826507,-4.546463
"Bug Hunter Waters","Bug Hunter Waters",52.28625,0.065252
"Burgess juniors","Burgess Park",51.483207,-0.082664
"Burgess","Burgess Park",51.484536,-0.081024
"Burnage","Varley Park, Stockport SK4 3EA",53.407152,-2.209185
"Burnham Riverside juniors","Burnham Riverside Park",51.630328,0.804807
"Burnham and Highbridge","Apex Park",51.226679,-2.990243
"Burnham-on-Crouch","Riverside Country Park",51.627409,0.810923
"Burnley juniors","Towneley Park",53.777385,-2.219036
"Burnley","Towneley Park, Burnley",53.77834,-2.221555
"Burrow’s Field juniors","Burrow’s Field juniors",51.879141,-2.083087
"Burslem Park juniors","Burslem Park",53.048527,-2.189272
"Bury Field","Bury Field",52.088015,-0.728725
"Bury St Edmunds juniors","Bury St Edmunds",52.244457,0.734698
"Bury St Edmunds","Nowton Park",52.224887,0.730183
"Bushy Park","Bushy Park, Teddington",51.410992,-0.335791
"Bushy juniors","Bushy Park, Teddington",51.420504,-0.332639
"Caledonian juniors","Caledonian Park",51.545794,-0.124279
"California Country","California Country Park",51.379583,-0.867647
"Calne Recreation Ground juniors","Calne Recreation Ground",51.437358,-1.999249
"Cambourne juniors","Cambourne Fitness and Sports Centre Playing Fields",52.220084,-0.061115
"Cambridge juniors","Milton Country Park",52.236606,0.163389
